FAKULTAS/ DEPARTEMEN,,"SE WR I Tentang Bahasa Asing Sebagai Syarat Ujian TA, Tesis dan Disertasi",,,Info Beasiswa Kursus dari IKOMA
Update: 22 September 2023,,,,,
FAKULTAS SAINS DAN ANALITIKA DATA (SCIENTICS),,,,,
Fisika,,,,,
Matematika,,,,,
Statistika,,,,,
Kimia,,,,,
Biologi,,,,,
Aktuaria,,,,,
FAKULTAS TEKNOLOGI INDUSTRI DAN REKAYASA SISTEM (INDSYS),,,,,
Teknik Mesin,,,,,
Teknik Kimia,,,,,
Teknik Fisika,,,,,
Teknik Sistem dan Industri,,,,,
Teknik Material & Metalurgi,,,,,
Teknik Pangan,,,,,
"FAKULTAS TEKNIK SIPIL, PERENCANAAN, DAN KEBUMIAN (CIVPLAN)",,,,,
Teknik Sipil,,,,,
Arsitektur,,,,,
Teknik Lingkungan,,,,,
Perencanaan Wilayah dan Kota,,,,,
Teknik Geomatika,,,,,
Teknik Geofisika,,,,,
FAKULTAS VOKASI (VOCATIONS),,,,,
Teknik Infrastruktur Sipil,,,,,
Teknik Mesin Industri,,,,,
Teknik Elektro Otomasi,,,,,
Teknik Kimia Industri,,,,,
Teknik Instrumentasi,,,,,
Statistika Bisnis,,,,,
FAKULTAS TEKNOLOGI KELAUTAN (MARTECH),,,,,
Teknik Perkapalan,,,,,
Teknik Sistem Perkapalan,,,,,
Teknik Kelautan,,,,,
Teknik Transportasi Laut,,,,,
Teknik Lepas Pantai,,,,,
FAKULTAS TEKNOLOGI ELEKTRO DAN INFORMATIKA CERDAS (ELECTICS),,,,,
Teknik Elektro,,,,,
Teknik Biomedik,,,,,
Teknik Komputer,,,,,
Teknik Informatika,,,,,
Sistem Informasi,,Flow Bahasa Inggris sebagai syarat kelulusan,,,
Teknologi Informasi,,,,,
Teknik Telekomunikasi,,,,,
Inovasi Digital,,,,,
FAKULTAS DESAIN KREATIF DAN BISNIS DIGITAL (CREABIZ),,,,,
Desain Produk Industri,,,,,
Desain Interior,,,,,
Desain Komunikasi Visual,,,,,
Manajemen Bisnis,,,,,
Studi Pembangunan,,,,,
FAKULTAS KEDOKTERAN DAN KESEHATAN,,,,,
Teknologi Kedokteran,,,,,
Kedokteran,,,,,
SEKOLAH INTERDISIPLIN MANAJEMEN DAN TEKNOLOGI (SIMT),,,,,
Manajemen Teknologi,,,,,
Manajemen Inovasi Sistem dan Teknologi,,,,,
